manufacturer,releaseyear,memsize,gpuclock,memclock,unifiedshader,tmu,rop,g3dmark,g2dmark,tdp,powerperformance,performance_per_watt,performance_per_gb,performance_per_shader,gpu_age,performance_category
0,2019.0,8.0,930,1600.0,1792.0,56,24,14729,926,180.0,81.83,81.82777777777778,1841.125,8.219308035714286,7.0,0
0,2019.0,8.0,1065,1500.0,1792.0,56,32,15085,908,205.0,73.59,73.58536585365853,1885.625,8.41796875,7.0,0
0,2019.0,8.0,900,1375.0,1792.0,112,32,7540,698,150.0,50.27,50.266666666666666,942.5,4.207589285714286,7.0,0
2,2019.0,8.0,827,1250.0,1792.0,112,32,19519,934,250.0,78.08,78.076,2439.875,10.892299107142858,7.0,0
2,2019.0,8.0,850,1250.0,1792.0,112,32,18168,896,215.0,84.5,84.50232558139535,2271.0,10.138392857142858,7.0,0
2,2019.0,8.0,800,1250.0,1792.0,112,32,16514,881,175.0,94.37,94.36571428571428,2064.25,9.215401785714286,7.0,0
2,2019.0,6.0,800,1125.0,512.0,32,16,13953,752,160.0,87.2,87.20625,2325.5,27.251953125,7.0,0
2,2019.0,6.0,625,1067.0,512.0,16,8,11794,702,120.0,98.29,98.28333333333332,1965.6666666666667,23.03515625,7.0,0
2,2019.0,6.0,625,1067.0,512.0,16,8,11794,702,120.0,98.29,98.28333333333332,1965.6666666666667,23.03515625,7.0,0
2,2019.0,6.0,772,1002.0,512.0,64,48,12732,823,125.0,101.85,101.856,2122.0,24.8671875,7.0,0
2,2019.0,6.0,772,1002.0,512.0,64,48,11695,796,120.0,97.46,97.45833333333331,1949.1666666666667,22.841796875,7.0,0
2,2019.0,5.0,600,800.0,480.0,24,8,9486,971,75.0,126.47,126.48,1897.2,19.7625,7.0,0
0,2019.0,4.0,775,900.0,400.0,20,8,4010,414,85.0,47.17,47.1764705882353,1002.5,10.025,7.0,0
0,2019.0,4.0,450,900.0,400.0,20,8,9188,824,130.0,70.68,70.67692307692307,2297.0,22.97,7.0,0
0,2019.0,4.0,450,800.0,400.0,20,8,2456,478,65.0,37.78,37.784615384615385,614.0,6.14,7.0,0
0,2019.0,8.0,650,800.0,400.0,20,8,6763,682,85.0,79.56,79.56470588235294,845.375,16.9075,7.0,0
0,2019.0,4.0,625,800.0,400.0,20,8,5840,636,85.0,68.7,68.70588235294117,1460.0,14.6,7.0,0
0,2019.0,2.0,550,800.0,400.0,20,8,1430,273,65.0,19.155,19.155714285714286,715.0,3.575,7.0,1
2,2019.0,4.0,650,795.0,400.0,20,8,10032,761,100.0,100.32,100.32,2508.0,25.08,7.0,0
2,2019.0,4.0,650,500.0,400.0,20,8,7807,592,75.0,104.09,104.09333333333332,1951.75,19.5175,7.0,0
0,2019.0,3.0,550,800.0,48.0,16,8,3562,366,85.0,41.91,41.90588235294118,1187.3333333333333,74.20833333333333,7.0,0
2,2019.0,2.0,810,500.0,48.0,8,4,2515,250,65.0,19.155,19.155714285714286,1257.5,52.395833333333336,7.0,0
2,2019.0,2.0,550,500.0,48.0,8,4,2515,250,65.0,19.155,19.155714285714286,1257.5,52.395833333333336,7.0,0
2,2019.0,2.0,589,500.0,48.0,8,4,1884,219,65.0,19.155,19.155714285714286,942.0,39.25,7.0,1
0,2019.0,1.024,275,256.0,384.0,4,4,1438,349,65.0,19.155,19.155714285714286,1404.296875,3.7447916666666665,7.0,1
0,2019.0,1.024,350,250.0,384.0,16,16,1438,349,65.0,19.155,19.155714285714286,1404.296875,3.7447916666666665,7.0,1
0,2019.0,1.024,425,250.0,384.0,4,4,1438,349,65.0,19.155,19.155714285714286,1404.296875,3.7447916666666665,7.0,1
0,2019.0,1.024,200,250.0,384.0,16,4,1593,421,65.0,19.155,19.155714285714286,1555.6640625,4.1484375,7.0,1
0,2019.0,1.024,250,250.0,384.0,8,2,1029,310,65.0,19.155,19.155714285714286,1004.8828125,2.6796875,7.0,1
0,2019.0,1.024,400,250.0,384.0,4,4,889,309,65.0,19.155,19.155714285714286,868.1640625,2.3151041666666665,7.0,1
0,2019.0,1.024,400,250.0,384.0,4,4,1847,509,65.0,19.155,19.155714285714286,1803.7109375,4.809895833333333,7.0,1
0,2019.0,1.024,450,250.0,384.0,4,4,1465,338,65.0,19.155,19.155714285714286,1430.6640625,3.8151041666666665,7.0,1
0,2019.0,1.024,450,250.0,384.0,4,4,1465,338,65.0,19.155,19.155714285714286,1430.6640625,3.8151041666666665,7.0,1
